NUMBER_OF_BYSTANDERS,RESCUED
26,1
32,1
9,0
15,1
12,1
27,1
8,0
54,1
3,0
9,1
74,1
12,1
51,1
7,0
8,1
17,1
21,1
5,0
61,1
6,1
38,1
3,1
20,1
28,1
19,0
